id,group,prompt,language,notes
P01,discovery-citywide,Who is a good English-speaking dentist in Barcelona?,en,
P02,discovery-citywide,Who is a good English-speaking doctor in Barcelona?,en,
P03,discovery-citywide,Who is a good English-speaking lawyer in Barcelona?,en,
P04,discovery-citywide,Who is a good English-speaking tax advisor in Barcelona?,en,
P05,discovery-citywide,Who is a good English-speaking psychologist or therapist in Barcelona?,en,
P06,discovery-citywide,Who is a good English-speaking physiotherapist in Barcelona?,en,
P07,discovery-citywide,Who is a good English-speaking accountant for freelancers (autonomo) in Barcelona?,en,
P08,discovery-citywide,Who is a good English-speaking sworn translator in Barcelona?,en,
P09,discovery-area,"English-speaking dentist in Poblenou, Barcelona",en,
P10,discovery-area,"English-speaking doctor in Eixample, Barcelona",en,
P11,discovery-area,"English-speaking lawyer in Gracia, Barcelona",en,
P12,discovery-area,"English speaking physio near Sarria, Barcelona",en,
P13,discovery-area,"English-speaking therapist in Les Corts, Barcelona",en,
P14,discovery-area,"English-speaking wedding planner near Diagonal Mar, Barcelona",en,
P15,constrained,I just moved to Barcelona and my tooth hurts. I need an English-speaking emergency dentist in or near Eixample who can see me this week. Who should I contact?,en,
P16,constrained,I need an English-speaking immigration lawyer in Barcelona who can also help with a digital nomad visa renewal. Who do you recommend?,en,
P17,constrained,"Looking for an English and French speaking paediatrician in Barcelona for a toddler, ideally in Sarria or Les Corts.",en,
P18,constrained,Which English-speaking gestor in Barcelona can handle autonomo registration and quarterly taxes for a UK freelancer?,en,
P19,constrained,English-speaking private chef in Barcelona for a dinner party of 10 in Gracia.,en,
P20,constrained,Where can I find an English-speaking driving school in Barcelona to exchange or get a Spanish licence as a US citizen?,en,
P21,comparison,How do I choose between a public doctor and a private English-speaking doctor in Barcelona?,en,
P22,comparison,"Gestor vs tax advisor vs accountant for an expat in Barcelona, which do I need?",en,
P23,comparison,Which Barcelona neighbourhood has the most English-speaking services?,en,
P24,informational,How much does a private doctor appointment cost in Barcelona?,en,
P25,informational,How much does autonomo cost per month in Spain in 2026?,en,
P26,informational,Do doctors in Barcelona speak English?,en,
P27,informational,How do I exchange my UK driving licence in Spain?,en,
P28,informational,What is a sworn translation in Spain and when do I need one?,en,
P29,informational,Who pays the agency fee when renting in Barcelona?,en,
P30,directory,Is there a directory of English-speaking professionals in Barcelona?,en,
P31,directory,Best websites to find English-speaking doctors and lawyers in Barcelona,en,
P32,directory,Where do expats in Barcelona find English-speaking services?,en,
P33,branded,What is Barcelona English Pros?,en,
P34,branded,Is Barcelona English Pros legit and free to use?,en,
P35,branded,How does Barcelona English Pros verify that professionals speak English?,en,
P36,spanish,dentista que hable inglés en Barcelona,es,
P37,spanish,abogado que hable inglés en Barcelona para extranjeros,es,
P38,spanish,médico privado con atención en inglés en Barcelona,es,
P39,spanish,gestoría para autónomos extranjeros que hable inglés en Barcelona,es,
P40,spanish,psicólogo en inglés Barcelona,es,
P41,spanish,cerrajero urgente Barcelona que hable inglés,es,
P42,discovery-citywide,"English-speaking locksmith in Barcelona, emergency",en,
P43,discovery-citywide,English-speaking vet in Barcelona for my dog,en,
P44,discovery-citywide,English speaking personal trainer in Barcelona,en,
P45,discovery-citywide,English-speaking notary in Barcelona for a property purchase,en,
P46,discovery-citywide,English-speaking insurance broker in Barcelona for health insurance,en,
